ORIGIN,ORIGIN_CITY,total_departures,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_taxi_out
LBB,"Lubbock, TX",2734,11.467081199707389,11.738478419897586,0.1623994147768837,0.035479151426481344,13.517556693489393
LBE,"Latrobe, PA",430,8.704651162790698,10.11860465116279,0.14883720930232558,0.027906976744186046,11.397674418604652
LBF,"North Platte, NE",293,14.965870307167236,17.283276450511945,0.15699658703071673,0.030716723549488054,16.580204778156997
LBL,"Liberal, KS",291,12.02405498281787,13.374570446735396,0.15463917525773196,0.030927835051546393,12.828178694158076
LCH,"Lake Charles, LA",591,16.465313028764804,17.942470389170897,0.16074450084602368,0.050761421319796954,13.456852791878173
LCK,"Columbus, OH",478,22.682008368200837,24.144351464435147,0.29497907949790797,0.04184100418410042,11.384937238493723
LEX,"Lexington, KY",3434,10.581537565521257,11.790331974373908,0.15171811298776935,0.026790914385556204,15.685497961560863
LFT,"Lafayette, LA",1695,13.54985250737463,14.417109144542772,0.1687315634218289,0.022418879056047197,16.509734513274335
LGA,"New York, NY",62442,15.092694020050606,15.331956055219244,0.1950450017616348,0.0403574517151917,22.75162550847186
LGB,"Long Beach, CA",6477,10.912150687046472,10.153157325922495,0.15454685811332408,0.01667438628994905,11.843446039833257
LIH,"Lihue, HI",5960,8.00486577181208,8.729865771812081,0.14161073825503356,0.015939597315436243,9.913087248322148
LIT,"Little Rock, AR",5276,13.43081880212282,13.901440485216073,0.16736163760424563,0.024260803639120546,14.084912812736922
LNK,"Lincoln, NE",525,16.34095238095238,17.312380952380952,0.1657142857142857,0.0380952380952381,16.434285714285714
LRD,"Laredo, TX",827,14.252720677146312,15.731559854897219,0.16203143893591293,0.02902055622732769,14.544135429262393
LSE,"La Crosse, WI",755,10.655629139072847,11.018543046357616,0.12582781456953643,0.022516556291390728,12.686092715231789
LWB,"Lewisburg, WV",231,23.64069264069264,25.48917748917749,0.16883116883116883,0.03896103896103896,12.541125541125542
LWS,"Lewiston, ID",466,7.3004291845493565,8.298283261802576,0.07081545064377683,0.004291845493562232,12.86480686695279
LYH,"Lynchburg, VA",205,6.868292682926829,6.136585365853659,0.08780487804878048,0.03414634146341464,17.536585365853657
MAF,"Midland/Odessa, TX",3791,12.810604062252704,12.911105249274598,0.14323397520443154,0.03719335267739383,12.734898443682406
MBS,"Saginaw/Bay City/Midland, MI",732,10.85655737704918,11.404371584699453,0.11065573770491803,0.025956284153005466,15.591530054644808
MCI,"Kansas City, MO",20682,10.931051155594236,10.913451310318152,0.1537085388260323,0.03128324146600909,12.56217967314573
MCO,"Orlando, FL",63768,16.880347509722746,16.938856479739055,0.22948814452389912,0.027302095094718353,16.24110839292435
MCW,"Mason City, IA",137,5.510948905109489,5.854014598540146,0.0948905109489051,0.058394160583941604,14.087591240875913
MDT,"Harrisburg, PA",2449,12.500612494895876,13.370763576970193,0.16047366271947733,0.025724785626786442,14.804409963250306
MDW,"Chicago, IL",34986,14.754158806379694,12.595381009546676,0.21645801177613902,0.040301835019722176,11.447093122963471
MEI,"Meridian, MS",344,14.92732558139535,15.084302325581396,0.16569767441860464,0.0377906976744186,12.886627906976743
MEM,"Memphis, TN",9920,13.979334677419354,14.4,0.1715725806451613,0.029737903225806453,14.366330645161291
MFE,"Mission/McAllen/Edinburg, TX",1839,13.068515497553017,14.20010875475802,0.16639477977161501,0.040783034257748776,12.80152256661229
MFR,"Medford, OR",2706,14.378418329637842,14.454175905395418,0.1367331855136733,0.01958610495195861,13.32039911308204
MGM,"Montgomery, AL",1344,14.5625,14.193452380952381,0.16964285714285715,0.01711309523809524,15.433779761904763
MHK,"Manhattan/Ft. Riley, KS",673,13.424962852897474,14.098068350668647,0.1515601783060921,0.04606240713224369,13.175334323922733
MHT,"Manchester, NH",3022,9.944407677035077,10.50992720052945,0.1472534745201853,0.036068828590337526,13.019523494374587
MIA,"Miami, FL",41860,15.850143334925944,16.25745341614907,0.2180602006688963,0.022694696607740088,18.721165790731007
